X_INDEX;Y_INDEX;GRID005ID;AOI;X_MIN;X_CENTER;X_MAX;Y_MIN;Y_CENTER;Y_MAX;SHAPE_AREA;SHAPE_LENG;INDEX_LABE;PRE_1980;POST_1980;LOW_RISE;MID_RISE;HIGH_RISE;MODERATE;M5;M2_ADOBE;STONE;ALL_YEAR;TYPE;RISE;TOTAL;RC_L;M1_L;M2_L;M5_L;RC_M;M1_M;M2_M;M5_M;RC_H;M1_H;M2_H;M5_H;TOTAL_BLD;POPULATION
547;820;5470820;0;27.350000;27.375000;27.400000;41.000000;41.025000;41.050000;0.002500;0.200000;0;30.218802;58.551863;67.728856;19.830156;1.211653;70.740924;13.827353;2.709154;1.493235;88.770665;176.048095000000000;88.770665;88.770665;53.972805;1.139285;2.066988;10.549778;15.802557;0.333568;0.605188;3.088842;0.965561;0.020382;0.036978;0.188733;88.770665;681
548;820;5480820;1;27.400000;27.425000;27.450000;41.000000;41.025000;41.050000;0.002500;0.200000;0;34.878237;67.579969;78.171963;22.887766;1.398478;81.648461;15.959391;3.126878;1.723476;102.458206;203.192936000000000;102.458206;102.458206;62.294868;1.314951;2.385697;12.176447;18.239152;0.385001;0.698502;3.565110;1.114440;0.023524;0.042680;0.217834;102.458206;786
549;820;5490820;1;27.450000;27.475000;27.500000;41.000000;41.025000;41.050000;0.002500;0.200000;0;52.095405;100.939905;116.760491;34.186001;2.088818;121.953115;23.837528;4.670420;2.574247;153.035310;303.496373000000000;153.035310;153.035310;93.045884;1.964059;3.563364;18.187185;27.242663;0.575052;1.043308;5.324979;1.664569;0.035137;0.063748;0.325364;153.035312;1174
550;820;5500820;1;27.500000;27.525000;27.550000;41.000000;41.025000;41.050000;0.002500;0.200000;0;63.987580;123.982146;143.414207;41.989873;2.565646;149.792186;29.279083;5.736568;3.161888;187.969726;372.777563000000000;187.969726;187.969726;114.286104;2.412408;4.376797;22.338898;33.461531;0.706323;1.281471;6.540548;2.044551;0.043157;0.078300;0.399638;187.969726;1442
551;820;5510820;1;27.550000;27.575000;27.600000;41.000000;41.025000;41.050000;0.002500;0.200000;0;24.139442;46.772512;54.103296;15.840763;0.967895;56.509402;11.045593;2.164132;1.192829;70.911955;140.631081000000000;70.911955;70.911955;43.114661;0.910086;1.651156;8.427394;12.623430;0.266462;0.483438;2.467435;0.771311;0.016281;0.029539;0.150764;70.911957;544
552;820;5520820;1;27.600000;27.625000;27.650000;41.000000;41.025000;41.050000;0.002500;0.200000;0;59.150920;114.610649;132.573889;38.815964;2.371716;138.469773;27.065951;5.302956;2.922889;173.761569;344.600249000000000;173.761569;173.761569;105.647506;2.230060;4.045966;20.650357;30.932259;0.652934;1.184608;6.046164;1.890009;0.039895;0.072381;0.369430;173.761569;1333
553;820;5530820;1;27.650000;27.675000;27.700000;41.000000;41.025000;41.050000;0.002500;0.200000;0;124.999585;243.634478;281.599837;81.820299;5.213927;292.591716;58.083209;11.743353;6.215785;368.634063;731.052341000000000;368.634063;368.634063;223.511031;4.748243;8.970756;44.369807;64.942294;1.379627;2.606500;12.891878;4.138391;0.087915;0.166097;0.821524;368.634063;2851
554;820;5540820;1;27.700000;27.725000;27.750000;41.000000;41.025000;41.050000;0.002500;0.200000;0;69.625211;178.771480;200.048229;40.009241;8.339222;166.384160;56.330599;21.031622;4.650310;248.396691;492.143072000000000;248.396691;248.396691;133.998792;3.745164;16.937982;45.366291;26.799487;0.749025;3.387562;9.073166;5.585881;0.156121;0.706078;1.891142;248.396691;2505
555;820;5550820;1;27.750000;27.775000;27.800000;41.000000;41.025000;41.050000;0.002500;0.200000;0;122.367990;1757.358524;1793.991248;84.021414;1.713853;1728.026274;82.591315;15.838625;53.270300;1879.726514;3706.182728000000000;1879.726514;1879.726514;1649.210131;50.840615;15.116218;78.824284;77.240604;2.381115;0.707967;3.691728;1.575539;0.048570;0.014441;0.075303;1879.726515;2317
556;820;5560820;1;27.800000;27.825000;27.850000;41.000000;41.025000;41.050000;0.002500;0.200000;0;92.045053;1376.304257;1403.828723;63.791998;0.728589;1354.446593;61.201460;10.928832;41.772425;1468.349310;2894.926195000000000;1468.349310;1468.349310;1294.930994;39.936907;10.448609;58.512213;58.843528;1.814791;0.474800;2.658879;0.672071;0.020727;0.005423;0.030368;1468.349310;1652
557;820;5570820;1;27.850000;27.875000;27.900000;41.000000;41.025000;41.050000;0.002500;0.200000;0;98.508260;1472.945410;1502.402586;68.271336;0.779749;1449.552947;65.498896;11.696231;44.705596;1571.453670;3098.201745000000000;1571.453670;1571.453670;1385.858290;42.741192;11.182288;62.620816;62.975395;1.942221;0.508139;2.845580;0.719262;0.022183;0.005804;0.032500;1571.453670;1768
